Which one of the following statements is not correct?|None of the above is incorrect.
On January 1, 2020, Illini Company borrowed $20,000 from a local bank by signing a two-month 12% note. Interest was payable at maturity on February 28, 2022. Based on the information provided, please answer the following question (base your calculation on the number of months). What is the total interest expense Illini should record on the note?|$400
On January 1, 2022, Illini Company borrowed $20,000 from a local bank by signing a two-month 12% note. Interest was payable at maturity on February 28, 2022. Based on the information provided, please answer the following question (base your calculation on the number of months). What account(s) should be debited at maturity by Illini Company?|Interest expense and Notes payable
Illini Inc. is billed quarterly for the cost of utilities. The bill for October - December 2022 is expected to be received and paid in January 2023. The average monthly cost for utilities is $1,500. Based on the information provided, how much utilities expense should be accrued as of December 31, 2022?|$4,500
Illini Inc. is billed quarterly for the cost of utilities. The bill for October - December 2022 is expected to be received and paid in January 2023. The average monthly cost for utilities is $1,500. When the bill is paid in January 2023, what account should be debited by Illini, Inc.?|Utilities payable
On November 1, 2022, Big Grove Company collected $9.8 million cash from customers for products that would be delivered in January 2023. Based on the information provided, please answer the following question: As of the fiscal year ended December 31, 2022, what should Big Grove Company report related to the $9.8 million collected from customers?|Liability of $9.8 million
On November 1, 2022, Big Grove Company collected $9.8 million cash from customers for products that would be delivered in January 2023. Based on the information provided, please answer the following question: When the product is provided to customers in January 2023, what account should be debited by Illini, Inc.?|Deferred revenue
At the fiscal year-end, suppose a loss is considered reasonably possible and estimated to be $30,000. A loss of $30,000 is considered material to the financial statements. The year-end financial statements should reflect which of the following:|Disclosure note detailing the possible loss
Illini Company offers a two-year warranty on its products. Warranty expense is expected to be 2% of sales and should be accrued in the period of the sale. The 2022 beginning and ending balances of the company's warranty liability were $24,000 and $28,000, respectively. The sales in 2022 were $400,000. How much did Illini spend on the warranty services in 2022?|$4,000
During 2022, Illini, Inc. was involved in pending litigation due to defective products sold during the year. As of December 31, 2022, Illini, Inc. estimated a loss of $1,500,000 was probable. In February 2023, Illini, Inc. settled the litigation for a loss of $2,500,000. Financial statements for the year ended December 31, 2022, are released on March 10, 2023. For the year ended December 31, 2022, what amount should be accrued in the financial statements related to the loss?|$1,500,000
Suppose Illini Company prepaid $6,000 in rent for the next three years on 12/31/2022. Illini's pre-tax GAAP income for 2022 was $20,000. The applicable tax rate was 30%. Which one of the following is incorrect regarding the 12/31/2022 tax journal entry?|The income tax payable would be credited by $4,200.
At the beginning of the year, Illini Inc. reported a valuation allowance of $4,000 related to a deferred tax asset of $12,000. At the end of the year, Illini determined it was probable that only 25% of the deferred tax asset would not be realized. The year-end adjustment of the valuation allowance would include which of the following?|Debit to valuation allowance of $1,000
Suppose Illini Company prepaid $6,000 in rent for the next three years ($2,000 per year) on 12/31/2022. Illini's annual pre-tax GAAP income for 2022-2025 was $20,000. The applicable tax rate was 30%. What is the taxable income for 2023?|$22,000
Suppose Illini Company prepaid $6,000 in rent for the next three years ($2,000 per year) on 12/31/2022. Illini's annual pre-tax GAAP income for 2022-2025 was $20,000. The applicable tax rate was 30%. For 2024, the deferred tax liability account is reduced by|$600.
Suppose Illini Company prepaid $6,000 in rent for the next three years ($2,000 per year) on 12/31/2022. Illini's annual pre-tax GAAP income for 2022-2025 was $20,000. The applicable tax rate was 30%. For 2025, the tax expense is|$6,000.
When deferred tax assets and deferred tax liabilities reverse, it is because|Deferred tax asset Deferred tax liability Taxable income is lower than pretax accounting income Taxable income is higher than pretax accounting income
Installment sales and accrued revenues are subtracted from pretax accounting income (GAAP income) when figuring taxable income because|We must reverse the revenue amounts that are part of pretax accounting income (GAAP income) in order to align it with taxable income, since those amounts were not included in taxable income.
Deferred tax assets arise when|GAAP revenue is lower than tax revenue, and/or GAAP expense is higher than tax expense.
Illini Company generated a $20,000 pre-tax GAAP income in 2022, its first year of operation, which included a $10,000 penalty from violating a safety code (not deductible for tax purpose). The income tax rate for 2022 was 30%, and the enacted rate for years after 2022 is 40%. Illini's income tax payable for 2022 would be|$9,000.
Illini's income tax expense for 2022 would be|$9,000.
